Module Name,CentOS 7,Rocky Linux 8,Comments
edirect/2022,,yes,New version
eigen/3.3.7,yes,yes,''
eigen/3.4.0,,yes,New version
fastmitocalc/1.0,yes,:red:`NO`,Unused
fastp/0.20.0,yes,yes,''
fastp/0.23.2,,yes,New version
fastqc/0.11.9,yes,yes,''
fastqtl/2.184,yes,:red:`NO`,Unused
fasttree/2.1.11,yes,yes,''
ffmpeg/0.10.16,yes,yes,''
ffmpeg/1.2.12,yes,yes,''
ffmpeg/4.1.3,yes,yes,''
fftw/3.3.10/gcc.11.2.0,,yes,New version
fftw/3.3.10/gcc.11.2.0-openmpi.4.1.2,,yes,New version
fftw/3.3.8/gcc.4.8.5,yes,:red:`NO`,:red:`Use fftw/3.3.8/gcc.system`
fftw/3.3.8/gcc.system,,yes,New version
fftw/3.3.8/gcc.8.4.0,yes,yes,''
fftw/3.3.8/gcc.8.4.0-openmpi.4.0.3,yes,yes,''
flye/2.7.1,yes,:red:`NO`,Unused
foundation,yes,:red:`NO`,:red:`Renamed as foundation/v7`
foundation/v7,,yes,New version
foundation/v8,,yes,New version
freebayes/1.3.2,yes,yes,''
freesurfer/6.0.1,yes,yes,''
freesurfer/7.1.1,yes,yes,''
freesurfer/7.2.0,yes,yes,''
freetype/2.10.2,yes,yes,''
fsl/6.0.4,yes,yes,''
gatk/2.4,yes,:red:`NO`,Unused
gatk/4.1.9.0,yes,yes,''
gatk/4.2.6.1,,yes,New version
gaussian/16,yes,yes,''
gcc/4.8.5,yes,:red:`NO`,:red:`Use gcc/system`
gcc/system,,yes*,New version
gcc/6.5.0,yes,yes,''
gcc/8.4.0,yes,yes,''
gcc/11.2.0,,yes,New version
gdal/3.1.0,yes,yes,''
gdal/3.4.1,,yes,New version
geos/3.8.1,yes,yes,''
geos/3.10.2,,yes,New version
gffread/0.12.4,yes,:red:`NO`,Unused
glpk/5.0,yes,yes,''
go/1.13,yes,:red:`NO`,:red:`Removed per security issue. Use latest version`
go/1.17.7,,yes,New version
gromacs/2020.4/gcc.8.4.0,yes,yes,''
gromacs/2020.4/gcc.8.4.0-cuda.10.1.243,yes,yes,''
gromacs/2020.4/gcc.8.4.0-cuda.10.1.243.openmpi.4.0.3,yes,yes,''
gromacs/2020.4/gcc.8.4.0-cuda.10.1.243.openmpi.4.0.3.plumed.2.6.1,yes,yes,''
gromacs/2020.4/gcc.8.4.0-openmpi.4.0.3,yes,yes,''
gromacs/2021.2/gcc.8.4.0,yes,yes,''
gromacs/2021.2/gcc.8.4.0-cuda.10.1.243,yes,yes,''
